SpeciesName,ScientificName,Count,Date,Observer,Location
Rufous-bellied Eagle,Lophotriorchis kienerii,2,9 May 2024,Nahum Bishwa,"Unnamed Road, Shannan, West Kameng, Arunachal Pradesh"
Indian Scops-Owl,Otus bakkamoena,6,9 May 2024,Irshad Theba,"Indroda Nature Park, Gandhinagar, Gujarat"
Roseate Tern,Sterna dougallii,25,9 May 2024,Ram Vikas,"Boat Island, South Andaman, South Andaman and Nicobar Islands"
Rufous-gorgeted Flycatcher,Ficedula strophiata,11,9 May 2024,Roozbeh Gazdar,"Jangda Rd, Tawang Numla, Tawang, Arunachal Pradesh"
Andaman Serpent-Eagle,Spilornis elgini,5,9 May 2024,Mani MK,"Andaman Trunk Road, Mayabunder, North and Middle Andaman and Nicobar Islands"
Indian Cuckoo,Cuculus micropterus,7,9 May 2024,AVINASH SHARMA,"Khursapur Gate, Pench TR, Nagpur, Maharashtra"
Wood Snipe,Gallinago nemoricola,1,9 May 2024,Sandeep Ramz,"Ganek View Point, East Sikkim, Sikkim"
Ornate Sunbird,Cinnyris ornatus,18,8 May 2024,Janardan Saikia,"Perka, Andaman and Nicobar Islands, Nicobar"
Common Woodshrike,Tephrodornis pondicerianus,28,8 May 2024,Hrishikesh Karandikar,"Shuri FR, Khandwa-Betul road, Khandwa, Madhya Pradesh"
Red-headed Trogon,Harpactes erythrocephalus,5,8 May 2024,Ayuwat Jearwattanakanok,"Eaglenest WLS & Surroundings--Below Bompu Camp, West Kameng, Arunachal Pradesh"
Spotted Elachura,Elachura formosa,3,8 May 2024,Ayuwat Jearwattanakanok,"Eaglenest WLS & Surroundings--Below Bompu Camp, West Kameng, Arunachal Pradesh"
White-gorgeted Flycatcher,Anthipes monileger,4,8 May 2024,Ayuwat Jearwattanakanok,"Eaglenest WLS & Surroundings--Below Bompu Camp, West Kameng, Arunachal Pradesh"
Plain Mountain Finch,Leucosticte nemoricola,600,7 May 2024,Dibyendu Ash,"Dzuluk (Zuluk), East Sikkim, Sikkim"
Rusty-flanked Treecreeper,Certhia nipalensis,4,7 May 2024,Komal Agrawal,"Khaliya--Entrance To Bhujaani Camp, Pithoragarh, Uttarakhand"
Tibetan Blackbird,Turdus maximus,7,7 May 2024,Sneha Subhash,"KP Road, Pahalgam, Anantnag, Jammu and Kashmir"
Slender-billed Oriole,Oriolus tenuirostris,2,7 May 2024,Rejaul Karim,"Singchung Bugun Village Community Reserve (SBVCR), West Kameng, Arunachal Pradesh"
Barred Buttonquail,Turnix suscitator,8,7 May 2024,Kushagra Rajendra,"Amity University--Herbal Garden, Gurugram, Haryana"
Eurasian Sparrowhawk,Accipiter nisus,5,7 May 2024,Komal Agrawal,"Khaliya--Bhujaani Camp To Bugyal, Pithoragarh, Uttarakhand"
